word|esp|vad.valence|vad.arousal|vad.dominance|sent.anger|sent.anticipation|sent.disgust|sent.fear|sent.joy|sent.sadness|sent.surprise|sent.trust
"abortion"|"aborto"|0.082|0.770|0.283|0.000|0.000|0.656|0.641|0.000|0.766|0.000|0.000
"abortive"|"abortivo"|0.090|0.776|0.280|0.000|0.000|0.000|0.000|0.000|0.672|0.000|0.000
"abound"|"abundar"|0.704|0.490|0.681|0.001|0.002|0.000|0.000|0.006|0.000|0.000|0.314
"abovementioned"|"anteriormente mencionado"|0.541|0.298|0.509|0.000|0.002|0.000|0.001|0.001|0.000|0.000|0.057
"abracadabra"|"abracadabra"|0.673|0.632|0.434|0.000|0.002|0.000|0.000|0.162|0.000|0.000|0.000
"abrasion"|"abrasión"|0.406|0.592|0.441|0.003|0.004|0.001|0.003|0.001|0.000|0.000|0.002
"abrasive"|"abrasivo"|0.392|0.610|0.593|0.002|0.000|0.001|0.006|0.000|0.001|0.001|0.009
"abreast"|"de frente"|0.635|0.380|0.519|0.000|0.002|0.000|0.000|0.005|0.000|0.000|0.017
"abroad"|"en el extranjero"|0.677|0.596|0.561|0.000|0.014|0.000|0.001|0.010|0.000|0.001|0.005
"abrogate"|"abrogar"|0.327|0.510|0.594|0.011|0.003|0.001|0.015|0.000|0.009|0.000|0.002
"abrupt"|"abrupto"|0.271|0.819|0.545|0.000|0.000|0.000|0.000|0.000|0.000|0.703|0.000
"abruptly"|"abruptamente"|0.250|0.808|0.556|0.258|0.000|0.001|0.018|0.000|0.002|0.004|0.000
"abscess"|"absceso"|0.154|0.451|0.349|0.000|0.000|0.000|0.000|0.000|0.438|0.000|0.000
"absence"|"ausencia"|0.153|0.235|0.266|0.000|0.000|0.000|0.396|0.000|0.547|0.000|0.000
"absent"|"ausente"|0.177|0.221|0.116|0.000|0.000|0.000|0.000|0.000|0.438|0.000|0.000
"absentee"|"ausente"|0.235|0.330|0.279|0.000|0.000|0.000|0.000|0.000|0.348|0.000|0.000
"absenteeism"|"absentismo"|0.404|0.273|0.357|0.001|0.000|0.001|0.002|0.000|0.005|0.000|0.003
"absinthe"|"Ajenjo"|0.481|0.510|0.462|0.003|0.000|0.002|0.012|0.000|0.001|0.001|0.000
"absolute"|"absoluto"|0.526|0.510|0.827|0.000|0.002|0.000|0.000|0.001|0.000|0.000|0.402
"absolution"|"absolución"|0.715|0.500|0.664|0.000|0.000|0.000|0.000|0.306|0.000|0.000|0.617
"absolve"|"absolver"|0.684|0.449|0.660|0.000|0.010|0.000|0.000|0.008|0.000|0.000|0.030
"absorb"|"absorber"|0.469|0.558|0.670|0.001|0.001|0.002|0.002|0.000|0.000|0.002|0.009
"absorbed"|"absorbido"|0.490|0.471|0.519|0.002|0.013|0.000|0.002|0.000|0.000|0.001|0.005
"absorbent"|"absorbente"|0.552|0.394|0.718|0.000|0.000|0.000|0.000|0.001|0.000|0.000|0.391
"absorbing"|"absorbente"|0.490|0.490|0.578|0.002|0.001|0.001|0.003|0.000|0.001|0.000|0.003
"absorption"|"absorción"|0.609|0.422|0.446|0.000|0.003|0.001|0.000|0.003|0.000|0.003|0.015
"abstain"|"abstenerse"|0.385|0.385|0.427|0.000|0.000|0.002|0.002|0.000|0.001|0.000|0.001
"abstention"|"abstención"|0.271|0.264|0.509|0.003|0.000|0.001|0.001|0.000|0.013|0.000|0.001
"abstinence"|"abstinencia"|0.260|0.392|0.429|0.001|0.000|0.009|0.001|0.000|0.006|0.000|0.000
"abstract"|"abstracto"|0.438|0.292|0.444|0.001|0.001|0.000|0.012|0.000|0.002|0.000|0.002
"abstraction"|"abstracción"|0.469|0.439|0.525|0.001|0.009|0.001|0.004|0.000|0.001|0.001|0.005
"absurd"|"absurdo"|0.188|0.656|0.284|0.104|0.000|0.040|0.031|0.000|0.051|0.001|0.000
"absurdity"|"absurdo"|0.115|0.528|0.227|0.001|0.000|0.003|0.004|0.000|0.069|0.000|0.000
"abundance"|"abundancia"|0.812|0.690|0.852|0.000|0.547|0.078|0.000|0.652|0.000|0.000|0.570
"abundant"|"abundante"|0.958|0.590|0.760|0.000|0.000|0.000|0.000|0.516|0.000|0.000|0.000
"abuse"|"abuso"|0.071|0.873|0.469|0.812|0.000|0.695|0.672|0.000|0.625|0.000|0.000
"abused"|"abusado"|0.021|0.874|0.235|0.014|0.000|0.043|0.401|0.000|0.098|0.000|0.000
"abusive"|"abusivo"|0.125|0.903|0.567|0.330|0.001|0.067|0.078|0.000|0.004|0.004|0.000
"abutment"|"contrafuerte"|0.500|0.265|0.616|0.001|0.000|0.000|0.001|0.000|0.001|0.000|0.074
"aby"||0.385|0.452|0.368|0.005|0.003|0.002|0.005|0.000|0.001|0.000|0.000
"abysmal"|"abismal"|0.250|0.710|0.598|0.000|0.000|0.000|0.000|0.000|0.742|0.000|0.000
"abyss"|"abismo"|0.353|0.725|0.296|0.000|0.000|0.000|0.578|0.000|0.594|0.000|0.000
"academic"|"académico"|0.781|0.420|0.812|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.648
"academy"|"academia"|0.704|0.473|0.792|0.000|0.003|0.000|0.000|0.007|0.000|0.000|0.246
"accede"|"acceder a"|0.698|0.510|0.537|0.000|0.010|0.000|0.000|0.013|0.000|0.000|0.027
"accelerant"|"acelerante"|0.643|0.844|0.802|0.006|0.006|0.000|0.003|0.002|0.000|0.001|0.007
"accelerate"|"acelerar"|0.615|0.902|0.759|0.000|0.594|0.000|0.000|0.000|0.000|0.000|0.000
"accelerated"|"acelerado"|0.610|0.812|0.682|0.005|0.002|0.001|0.006|0.002|0.000|0.001|0.010
"acceleration"|"aceleración"|0.704|0.905|0.843|0.003|0.006|0.000|0.002|0.006|0.000|0.004|0.004
"accelerator"|"acelerador"|0.593|0.830|0.812|0.010|0.003|0.000|0.003|0.002|0.000|0.001|0.007
"accent"|"acento"|0.598|0.357|0.509|0.000|0.003|0.001|0.000|0.002|0.000|0.001|0.016
"accentuate"|"acentuar"|0.673|0.556|0.667|0.000|0.011|0.000|0.000|0.001|0.000|0.000|0.017
"accept"|"aceptar"|0.847|0.286|0.565|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.664
"acceptable"|"aceptable"|0.812|0.286|0.583|0.000|0.002|0.000|0.000|0.062|0.000|0.001|0.020
"acceptance"|"aceptación"|0.833|0.287|0.755|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.680
"acceptances"|"aceptaciones"|0.847|0.413|0.648|0.000|0.000|0.000|0.203|0.000|0.000|0.000|0.000
"accepted"||0.699|0.457|0.708|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.672
"accepting"||0.810|0.404|0.710|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.742
"accepts"||0.817|0.427|0.707|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.648
"access"|"acceso"|0.714|0.472|0.567|0.000|0.001|0.000|0.000|0.003|0.000|0.000|0.070
"accessible"|"accesible"|0.796|0.410|0.645|0.000|0.002|0.000|0.000|0.008|0.000|0.000|0.084
"accession"|"adhesión"|0.612|0.383|0.636|0.000|0.002|0.000|0.000|0.000|0.000|0.000|0.283
"accessory"|"accesorio"|0.562|0.292|0.445|0.001|0.000|0.000|0.003|0.000|0.000|0.001|0.009
"accident"|"accidente"|0.125|0.908|0.336|0.000|0.000|0.000|0.750|0.000|0.516|0.750|0.000
"accidental"|"accidental"|0.319|0.784|0.307|0.000|0.000|0.000|0.438|0.000|0.000|0.672|0.000
"accidentally"|"accidentalmente"|0.333|0.741|0.333|0.000|0.000|0.000|0.000|0.000|0.000|0.672|0.000
"acclaim"|"aclamación"|0.562|0.809|0.718|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.586
"accolade"|"espaldarazo"|0.688|0.591|0.775|0.000|0.562|0.000|0.000|0.586|0.000|0.281|0.508
"accommodate"|"acomodar"|0.844|0.375|0.566|0.000|0.005|0.000|0.000|0.174|0.000|0.000|0.012
"accommodation"|"alojamiento"|0.817|0.415|0.587|0.000|0.006|0.000|0.000|0.009|0.000|0.000|0.132
"accompaniment"|"acompañamiento"|0.740|0.479|0.695|0.000|0.477|0.000|0.000|0.179|0.000|0.000|0.531
"accompany"|"acompañar"|0.833|0.406|0.585|0.000|0.010|0.000|0.000|0.043|0.000|0.000|0.011
"accompanying"|"acompañamiento"|0.787|0.460|0.582|0.000|0.011|0.000|0.001|0.029|0.001|0.000|0.032
"accomplice"|"cómplice"|0.408|0.580|0.510|0.002|0.006|0.003|0.005|0.000|0.000|0.000|0.001
"accomplish"|"realizar"|0.929|0.673|0.816|0.000|0.000|0.000|0.000|0.500|0.000|0.000|0.000
"accomplished"|"consumado"|0.870|0.520|0.798|0.000|0.000|0.000|0.000|0.672|0.000|0.000|0.000
"accomplishment"|"logro"|0.917|0.694|0.888|0.000|0.000|0.000|0.000|0.594|0.000|0.000|0.000
"accord"|"acuerdo"|0.898|0.264|0.382|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.617
"accordance"|"conformidad"|0.659|0.349|0.600|0.000|0.003|0.000|0.000|0.001|0.000|0.000|0.080
"accordion"|"acordeón"|0.604|0.490|0.361|0.000|0.001|0.001|0.000|0.008|0.000|0.001|0.001
"account"|"cuenta"|0.531|0.347|0.472|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.523
"accountability"|"responsabilidad"|0.755|0.537|0.833|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.664
"accountable"|"explicable"|0.709|0.282|0.777|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.695
"accountant"|"contador"|0.625|0.450|0.639|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.422
"accounting"|"contabilidad"|0.552|0.390|0.677|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.298
"accounts"|"cuentas"|0.592|0.340|0.471|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.391
"accredited"|"autorizado"|0.669|0.479|0.768|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.672
"accretion"|"acreción"|0.448|0.519|0.672|0.000|0.001|0.001|0.001|0.000|0.000|0.002|0.016
"accrue"|"acumularse"|0.520|0.481|0.602|0.004|0.003|0.000|0.000|0.001|0.000|0.000|0.028
"accueil"||0.450|0.451|0.470|0.009|0.002|0.002|0.004|0.000|0.001|0.001|0.001
"accumulate"|"acumular"|0.573|0.536|0.607|0.001|0.001|0.000|0.001|0.000|0.000|0.000|0.010
"accumulation"|"acumulación"|0.479|0.527|0.600|0.001|0.002|0.000|0.005|0.000|0.000|0.000|0.002
"accuracy"|"exactitud"|0.604|0.481|0.802|0.000|0.003|0.000|0.002|0.001|0.000|0.000|0.084
"accurate"|"preciso"|0.743|0.360|0.737|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.625
"accursed"|"maldito"|0.135|0.745|0.345|0.588|0.000|0.000|0.594|0.000|0.697|0.000|0.000
"accusation"|"acusación"|0.073|0.718|0.564|0.510|0.000|0.523|0.000|0.000|0.000|0.000|0.000
"accusative"|"acusativo"|0.198|0.755|0.482|0.137|0.000|0.003|0.033|0.000|0.004|0.000|0.000
"accuse"|"acusar"|0.133|0.752|0.500|0.105|0.000|0.145|0.092|0.000|0.004|0.000|0.000
"accused"|"acusado"|0.130|0.670|0.420|0.641|0.000|0.000|0.469|0.000|0.000|0.000|0.000
"accuser"|"acusador"|0.122|0.779|0.615|0.470|0.000|0.000|0.438|0.000|0.000|0.000|0.000
"accusing"|"acusando"|0.156|0.745|0.324|0.779|0.000|0.000|0.484|0.000|0.000|0.000|0.000
"accustomed"|"acostumbrado"|0.542|0.365|0.441|0.000|0.008|0.000|0.000|0.001|0.000|0.000|0.025
"ace"|"as"|0.643|0.481|0.546|0.000|0.003|0.000|0.001|0.001|0.000|0.000|0.018
"acetic"|"acético"|0.333|0.420|0.519|0.013|0.000|0.001|0.006|0.000|0.006|0.003|0.001
"acetylene"|"acetileno"|0.306|0.469|0.509|0.145|0.000|0.003|0.026|0.000|0.029|0.000|0.000
"ache"|"dolor"|0.146|0.760|0.312|0.000|0.000|0.000|0.000|0.000|0.531|0.000|0.000
"achieve"|"lograr"|0.816|0.545|0.843|0.000|0.000|0.000|0.000|0.641|0.000|0.000|0.656
"achieved"|"logrado"|0.896|0.519|0.775|0.000|0.000|0.000|0.000|0.500|0.000|0.000|0.000
"achievement"|"logro"|0.896|0.808|0.759|0.000|0.695|0.000|0.000|0.712|0.000|0.000|0.625
"aching"|"dolor"|0.053|0.880|0.348|0.000|0.000|0.000|0.000|0.000|0.544|0.000|0.000
"achy"|"doloroso"|0.167|0.840|0.373|0.006|0.000|0.002|0.053|0.000|0.002|0.000|0.000
"acid"|"ácido"|0.265|0.642|0.566|0.030|0.000|0.007|0.032|0.000|0.006|0.000|0.000
"acidity"|"acidez"|0.156|0.663|0.360|0.010|0.000|0.003|0.009|0.000|0.049|0.000|0.000
"acknowledge"|"reconocer"|0.786|0.370|0.661|0.000|0.003|0.000|0.000|0.015|0.000|0.000|0.063
"acknowledged"|"admitido"|0.714|0.443|0.765|0.000|0.006|0.000|0.000|0.001|0.000|0.000|0.098
"acknowledgement"|"reconocimiento"|0.819|0.539|0.830|0.000|0.003|0.000|0.000|0.075|0.000|0.001|0.217
"acknowledgment"|"reconocimiento"|0.796|0.528|0.777|0.000|0.003|0.000|0.000|0.019|0.000|0.000|0.053
"acme"|"cumbre"|0.408|0.435|0.375|0.001|0.002|0.001|0.001|0.000|0.009|0.001|0.000
"acne"|"acné"|0.167|0.474|0.308|0.008|0.000|0.006|0.002|0.000|0.063|0.000|0.000
"acorn"|"bellota"|0.448|0.198|0.192|0.000|0.000|0.003|0.001|0.000|0.016|0.000|0.000
"acoustic"|"acústico"|0.542|0.462|0.536|0.000|0.002|0.001|0.001|0.000|0.000|0.002|0.005
"acoustics"|"acústica"|0.611|0.330|0.509|0.000|0.005|0.000|0.000|0.003|0.000|0.000|0.042
"acquaint"|"familiarizar"|0.646|0.491|0.639|0.000|0.007|0.000|0.000|0.001|0.000|0.000|0.044
"acquaintance"|"conocido"|0.656|0.290|0.670|0.000|0.002|0.000|0.000|0.006|0.000|0.000|0.297
"acquainted"|"familiarizado"|0.906|0.358|0.632|0.000|0.002|0.000|0.000|0.206|0.000|0.000|0.103
"acquiescence"|"aquiescencia"|0.542|0.480|0.554|0.000|0.005|0.001|0.001|0.000|0.000|0.000|0.005
"acquire"|"adquirir"|0.833|0.468|0.700|0.000|0.004|0.000|0.000|0.018|0.000|0.001|0.264
"acquiring"|"adquisidor"|0.735|0.510|0.817|0.000|0.594|0.000|0.000|0.000|0.000|0.000|0.000
"acquisition"|"adquisición"|0.698|0.509|0.736|0.000|0.006|0.000|0.000|0.000|0.000|0.000|0.332
"acquisitions"|"adquisiciones"|0.773|0.660|0.790|0.000|0.002|0.000|0.001|0.003|0.000|0.002|0.003
"acquit"|"absolver"|0.583|0.571|0.611|0.002|0.001|0.000|0.002|0.001|0.000|0.000|0.006
"acquittal"|"absolución"|0.760|0.497|0.700|0.000|0.010|0.000|0.000|0.008|0.001|0.000|0.081
"acre"|"acre"|0.583|0.387|0.423|0.000|0.001|0.000|0.000|0.007|0.001|0.001|0.006
"acreage"|"superficie en acres"|0.741|0.450|0.528|0.000|0.003|0.000|0.000|0.058|0.000|0.000|0.033
"acres"|"hectáreas"|0.510|0.363|0.500|0.000|0.003|0.000|0.001|0.000|0.000|0.000|0.008
"acrobat"|"acróbata"|0.708|0.828|0.602|0.000|0.000|0.000|0.266|0.162|0.000|0.000|0.258
"acrylic"|"acrílico"|0.582|0.279|0.420|0.000|0.001|0.000|0.001|0.001|0.001|0.001|0.005
"act"|"acto"|0.656|0.704|0.735|0.003|0.018|0.000|0.001|0.006|0.000|0.000|0.017
"acting"|"interino"|0.698|0.643|0.500|0.000|0.010|0.000|0.000|0.017|0.000|0.006|0.000
"action"|"acción"|0.760|0.898|0.802|0.000|0.020|0.000|0.000|0.059|0.000|0.012|0.009
"action figure"|"Figura de acción"|0.615|0.774|0.611|0.004|0.004|0.001|0.005|0.002|0.000|0.008|0.000
"actionable"|"procesable"|0.673|0.702|0.613|0.394|0.000|0.211|0.000|0.000|0.000|0.000|0.000
"activate"|"activar"|0.764|0.650|0.806|0.000|0.002|0.001|0.000|0.016|0.000|0.002|0.046
"activation"|"activación"|0.781|0.800|0.754|0.000|0.001|0.000|0.001|0.018|0.000|0.001|0.002
"active"|"activo"|0.847|0.730|0.731|0.000|0.012|0.000|0.000|0.518|0.000|0.005|0.011
"activist"|"activista"|0.531|0.653|0.877|0.003|0.000|0.000|0.013|0.000|0.000|0.000|0.115
"activity"|"actividad"|0.701|0.660|0.807|0.001|0.006|0.001|0.003|0.003|0.000|0.000|0.006
"actor"|"actor"|0.653|0.561|0.629|0.000|0.006|0.000|0.001|0.003|0.000|0.000|0.010
"actress"|"Actriz"|0.633|0.556|0.596|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.305
"actual"|"real"|0.729|0.400|0.716|0.000|0.001|0.000|0.000|0.002|0.000|0.000|0.254
"actuality"|"realidad"|0.750|0.464|0.600|0.000|0.003|0.000|0.000|0.008|0.001|0.000|0.016
"actuary"|"actuario"|0.510|0.404|0.491|0.000|0.003|0.000|0.001|0.001|0.001|0.001|0.014
"acuity"|"agudeza"|0.469|0.378|0.741|0.000|0.001|0.000|0.003|0.000|0.001|0.000|0.069
"acumen"|"perspicacia"|0.564|0.660|0.679|0.004|0.006|0.000|0.001|0.000|0.001|0.000|0.001
"acupuncture"|"acupuntura"|0.531|0.324|0.549|0.001|0.002|0.000|0.006|0.000|0.000|0.000|0.009
"acute"|"agudo"|0.427|0.652|0.534|0.002|0.006|0.000|0.004|0.000|0.000|0.003|0.001
"acutely"|"extremadamente"|0.417|0.543|0.491|0.010|0.003|0.002|0.009|0.000|0.000|0.000|0.000
"ad"|"anuncio"|0.521|0.705|0.558|0.009|0.001|0.001|0.015|0.001|0.001|0.002|0.001
"ada"||0.418|0.458|0.446|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.234
"adage"|"adagio"|0.517|0.415|0.566|0.000|0.002|0.000|0.001|0.001|0.000|0.001|0.003
"adamant"|"firme"|0.344|0.529|0.575|0.013|0.005|0.001|0.008|0.000|0.005|0.002|0.002
"adapt"|"adaptar"|0.740|0.355|0.551|0.000|0.003|0.000|0.000|0.009|0.000|0.000|0.050
"adaptable"|"adaptable"|0.735|0.423|0.641|0.000|0.003|0.000|0.001|0.036|0.000|0.000|0.018
"adaptation"|"adaptación"|0.663|0.365|0.609|0.000|0.005|0.000|0.000|0.001|0.000|0.000|0.030
"add"|"añadir"|0.728|0.490|0.554|0.000|0.002|0.000|0.000|0.046|0.000|0.000|0.016
"added"|"adicional"|0.562|0.405|0.509|0.000|0.005|0.001|0.001|0.000|0.000|0.001|0.014
"addendum"|"apéndice"|0.392|0.370|0.418|0.001|0.000|0.002|0.003|0.000|0.001|0.000|0.001
"adder"|"sumador"|0.388|0.461|0.588|0.212|0.000|0.383|0.547|0.000|0.361|0.000|0.000
"addict"|"adicto"|0.075|0.696|0.327|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.172
"addicted"|"fanático"|0.156|0.712|0.483|0.085|0.000|0.009|0.073|0.000|0.004|0.000|0.000
"addiction"|"adiccion"|0.180|0.806|0.420|0.031|0.000|0.006|0.019|0.000|0.001|0.000|0.000
"addictive"|"adictivo"|0.302|0.683|0.472|0.041|0.000|0.002|0.011|0.000|0.001|0.001|0.000
"addition"|"adición"|0.562|0.373|0.471|0.000|0.003|0.001|0.000|0.001|0.000|0.001|0.072
"additional"|"adicional"|0.673|0.462|0.526|0.000|0.003|0.000|0.001|0.007|0.000|0.000|0.010
"additive"|"aditivo"|0.561|0.633|0.691|0.001|0.003|0.000|0.001|0.000|0.000|0.000|0.024
"address"|"dirección"|0.650|0.327|0.567|0.000|0.001|0.000|0.000|0.001|0.000|0.000|0.172
"addressee"|"destinatario"|0.622|0.382|0.538|0.000|0.001|0.000|0.000|0.003|0.000|0.000|0.044
"addresses"|"direcciones"|0.510|0.354|0.450|0.000|0.289|0.000|0.000|0.000|0.000|0.000|0.000
"adept"|"adepto"|0.594|0.539|0.789|0.000|0.002|0.000|0.002|0.001|0.000|0.000|0.118
"adequacy"|"adecuación"|0.615|0.435|0.702|0.000|0.002|0.000|0.000|0.000|0.000|0.000|0.172
"adequate"|"adecuado"|0.854|0.264|0.705|0.000|0.008|0.000|0.001|0.016|0.000|0.001|0.362
"adhere"|"adherirse"|0.633|0.339|0.554|0.000|0.001|0.000|0.000|0.002|0.000|0.000|0.110
"adherence"|"adherencia"|0.760|0.307|0.630|0.000|0.005|0.000|0.000|0.022|0.000|0.001|0.233
"adherent"|"adherente"|0.561|0.385|0.555|0.001|0.006|0.000|0.000|0.000|0.000|0.000|0.015
"adhering"|"adhiriendo"|0.612|0.561|0.537|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.570
"adhesion"|"adhesión"|0.521|0.445|0.586|0.001|0.000|0.000|0.000|0.000|0.000|0.000|0.028
"adhesive"|"adhesivo"|0.604|0.350|0.413|0.001|0.001|0.000|0.005|0.004|0.000|0.000|0.003
"adieu"|"adiós"|0.250|0.471|0.342|0.009|0.000|0.003|0.015|0.000|0.015|0.001|0.000
"adipose"|"adiposo"|0.333|0.350|0.391|0.001|0.001|0.004|0.012|0.000|0.011|0.000|0.000
"adjacency"|"proximidad"|0.365|0.417|0.375|0.005|0.001|0.003|0.003|0.000|0.003|0.000|0.001
"adjacent"|"adyacente"|0.645|0.276|0.536|0.000|0.002|0.001|0.001|0.004|0.000|0.000|0.129
"adjective"|"adjetivo"|0.570|0.316|0.569|0.000|0.005|0.000|0.000|0.001|0.000|0.001|0.105
"adjoining"|"contiguo"|0.520|0.400|0.393|0.000|0.000|0.000|0.000|0.009|0.003|0.000|0.005
"adjourn"|"aplazar"|0.385|0.456|0.475|0.004|0.003|0.002|0.005|0.001|0.004|0.001|0.004
"adjournment"|"aplazamiento"|0.438|0.510|0.370|0.005|0.000|0.005|0.005|0.002|0.001|0.000|0.000
"adjudicate"|"juzgar"|0.559|0.520|0.683|0.000|0.000|0.000|0.297|0.000|0.000|0.000|0.000
"adjudication"|"adjudicación"|0.551|0.462|0.691|0.000|0.001|0.000|0.000|0.000|0.000|0.000|0.252
"adjunct"|"adjunto"|0.459|0.440|0.426|0.002|0.000|0.001|0.020|0.001|0.001|0.001|0.003
